atm,T_sfc_C,lw_dn_sfc_b,lw_dn_sfc_f,lw_up_toa_b,lw_up_toa_f,lw_htr_3km_b,lw_htr_3km_f,sw_dn_sfc_b,sw_dn_sfc_f,sw_up_toa_b,sw_up_toa_f,sw_htr_3km_b,sw_htr_3km_f
MLS,20.850000000000023,365.36168357289677,365.82853779832175,282.46518048470995,282.42375302115863,-2.015969604373731,-2.0181051686058753,746.8731365711392,747.144570192533,118.06360568063349,117.8544825239817,-2.1863138611357775,2.185634304277488
MLW,-0.9499999999999886,222.7872649548928,222.7975162114639,209.71468709068517,209.7156491657907,-1.122458926816991,-1.1224411682089854,803.4220144825811,803.499177264751,124.42865276866601,124.37656690820432,-1.404802094401845,1.4046143675090206
SAW,-16.049999999999955,172.79623195699963,172.79288142366227,200.99648711874104,200.99750017858838,-1.3516810481207135,-1.3515754214320426,828.7891691439289,828.8237409088043,127.35882099552279,127.33602670727318,-1.2447490569091737,1.244637408147949
TROP,26.850000000000023,404.451137145677,405.0834143257449,274.8451279730837,274.7649218250307,-1.8883468909730856,-1.8919443809118708,757.3397842105696,719.5809956149182,127.12579661827179,108.01898563660505,-2.1027005538675665,2.101490670720518
